iter	Passed	Remaining
0	1	116
1	2	121
2	3	112
3	4	100
4	5	95
5	5	92
6	6	89
7	7	86
8	8	85
9	9	83
10	10	81
11	10	80
12	11	79
13	12	78
14	13	77
15	14	75
16	15	74
17	16	73
18	17	72
19	17	71
20	18	71
21	19	69
22	20	69
23	21	68
24	22	67
25	23	66
26	24	65
27	25	64
28	26	63
29	26	62
30	27	62
31	28	61
32	29	60
33	30	59
34	31	58
35	32	57
36	33	56
37	33	55
38	34	53
39	35	53
40	36	51
41	36	50
42	37	49
43	38	48
44	39	47
45	40	46
46	40	46
47	41	45
48	42	44
49	43	43
50	44	42
51	45	41
52	45	40
53	46	39
54	47	38
55	48	37
56	48	36
57	49	35
58	50	35
59	51	34
60	52	33
61	53	32
62	54	31
63	54	30
64	56	30
65	56	29
66	57	28
67	58	27
68	59	26
69	60	25
70	61	24
71	61	24
72	62	23
73	63	22
74	64	21
75	65	20
76	65	19
77	66	18
78	67	17
79	68	17
80	69	16
81	69	15
82	70	14
83	71	13
84	72	12
85	73	11
86	74	11
87	74	10
88	75	9
89	76	8
90	77	7
91	78	6
92	79	5
93	79	5
94	80	4
95	81	3
96	81	2
97	82	1
98	83	0
99	84	0
